M	B	predicted
1	0.27651083690071	0.72348916309929	B
2	0.220808106839724	0.779191893160276	B
4	0.305854764810612	0.694145235189388	B
5	0.38832071336249	0.61167928663751	B
6	0.731314307798735	0.268685692201265	M
7	0.734151594650135	0.265848405349865	M
8	0.653839823826881	0.346160176173119	M
9	0.186732768358719	0.813267231641281	B
10	0.217164214984987	0.782835785015013	B
11	0.117719546458549	0.882280453541451	B
12	0.246631323047581	0.753368676952418	B
13	0.396639517955357	0.603360482044643	B
14	0.111989370415762	0.888010629584238	B
15	0.217484495381581	0.782515504618419	B
16	0.305502400232024	0.694497599767976	B
17	0.280124433286564	0.719875566713436	B
18	0.083080499292642	0.916919500707358	B
19	0.898322170744647	0.101677829255353	M
20	0.413731998019963	0.586268001980037	B
21	0.380458229470454	0.619541770529546	B
22	0.0934101625792799	0.90658983742072	B
23	0.342162683675602	0.657837316324398	B
24	0.173063132706226	0.826936867293774	B
26	0.609824519922328	0.390175480077672	M
27	0.143537250789917	0.856462749210082	B
28	0.332038468263122	0.667961531736878	B
29	0.767378588132546	0.232621411867454	M
30	0.386697024301688	0.613302975698312	B
31	0.456497768309011	0.543502231690989	B
32	0.149047440988947	0.850952559011053	B
33	0.670624861200338	0.329375138799662	M
34	0.29281883546792	0.70718116453208	B
35	0.230579992077394	0.769420007922606	B
36	0.19202286450651	0.80797713549349	B
37	0.577435475997822	0.422564524002178	M
38	0.0470394276942119	0.952960572305788	B
39	0.796299923915055	0.203700076084945	M
40	0.369130915845382	0.630869084154618	B
41	0.680445683823341	0.319554316176659	M
42	0.595738841186303	0.404261158813697	M
43	0.400561541897302	0.599438458102698	B
45	0.833160650951843	0.166839349048157	M
46	0.304474342370841	0.695525657629159	B
47	0.24838550966755	0.75161449033245	B
48	0.347989927182344	0.652010072817656	B
49	0.970027875995336	0.0299721240046643	M
50	0.25271035217522	0.74728964782478	B
51	0.955771963298205	0.0442280367017953	M
52	0.165417988794379	0.834582011205621	B
53	0.757074089921932	0.242925910078068	M
54	0.573988961441165	0.426011038558835	M
55	0.508933663257466	0.491066336742534	M
56	0.246985102304995	0.753014897695005	B
